"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bits","Param: padding","Param: scenario","Param: seed","Param: size"
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-stores","avgt",1,1,12360379.925806,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:iTLB-load-misses","avgt",1,1,266.577419,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:iTLB-loads","avgt",1,1,1038.380645,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:instructions","avgt",1,1,191961378.141936,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.alloc.rate","avgt",1,5,157.257029,2.649123,"MB/sec",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.alloc.rate.norm","avgt",1,5,4030344.929032,742.063327,"B/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.churn.Eden_Space","avgt",1,5,166.016265,73.579925,"MB/sec",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.churn.Eden_Space.norm","avgt",1,5,4256096.954839,1928487.515987,"B/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.churn.Survivor_Space","avgt",1,5,0.008286,0.062483,"MB/sec",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.churn.Survivor_Space.norm","avgt",1,5,212.593548,1603.044920,"B/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.count","avgt",1,5,19.000000,NaN,"counts",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.time","avgt",1,5,5.000000,NaN,"ms",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort","avgt",1,5,76351.099554,104.314214,"us/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:CPI","avgt",1,1,0.597597,NaN,"clks/insn",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:IPC","avgt",1,1,1.673368,NaN,"insns/clk",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-load-misses","avgt",1,1,768850.971014,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-loads","avgt",1,1,89803721.913043,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-stores","avgt",1,1,21296909.434783,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-icache-load-misses","avgt",1,1,33312.884058,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-load-misses","avgt",1,1,14168.144928,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-loads","avgt",1,1,45385.724638,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-store-misses","avgt",1,1,8221.884058,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-stores","avgt",1,1,39144.304348,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branch-misses","avgt",1,1,5135686.695652,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branches","avgt",1,1,79726350.724638,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:cycles","avgt",1,1,198030275.550725,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-load-misses","avgt",1,1,2948.942029,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-loads","avgt",1,1,84093834.753623,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-store-misses","avgt",1,1,667.695652,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-stores","avgt",1,1,20916804.797101,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:iTLB-load-misses","avgt",1,1,641.014493,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:iTLB-loads","avgt",1,1,6845.014493,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:instructions","avgt",1,1,331377592.637681,NaN,"#/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.alloc.rate","avgt",1,5,0.091326,0.004033,"MB/sec",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.alloc.rate.norm","avgt",1,5,10880.369231,4.963073,"B/op",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.count","avgt",1,5,0.000000,NaN,"counts",17,7,SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort","avgt",1,5,74903.146829,99.642885,"us/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:CPI","avgt",1,1,0.597613,NaN,"clks/insn",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:IPC","avgt",1,1,1.673324,NaN,"insns/clk",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-load-misses","avgt",1,1,750756.157143,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-loads","avgt",1,1,84091892.200000,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-stores","avgt",1,1,21021042.585714,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-icache-load-misses","avgt",1,1,48556.828571,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-load-misses","avgt",1,1,12027.457143,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-loads","avgt",1,1,37243.714286,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-store-misses","avgt",1,1,6002.714286,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-stores","avgt",1,1,59444.371429,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branch-misses","avgt",1,1,5133984.685714,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branches","avgt",1,1,79305018.514286,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:cycles","avgt",1,1,195391585.242857,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
